Plot,Real.rich,Legume,Hed,PD,MNND,MPD,H,Simp,biomass2012,litter2012,biomass2013,biomass2014,ave.biomass,Light.tau,LAI,C.change.deep,C.change.surf,N.change.deep,N.change.surf,mean.N.change,poll_total,flwr_total,Mass.loss.1month,Mass.loss.2month,GRASS,SOAL,MOFI,ASTU,DECA,Damage_effect,bugs,bug.rich
X7,1,N,0,0,0,0,0,0,44.37,36.32,44.69,14.09,34.38333333,0.083,3.42,-0.156,-0.009,-0.087,-0.028,-0.0575,0,0,2.714,3.328,NA,NA,NA,NA,NA,0,5,3
X50,1,L,0,0,0,0,0,0,54.73,10.61,97.55,52.64,68.30666667,0.041,6.11,0.884,-0.287,0.182,0.096,0.139,40,1682.428571,3.533,4.147,NA,NA,NA,NA,NA,0,35,7
X29,1,N,0,0,0,0,0,0,95.11,7.75,104.59,167.87,122.5233333,0.004,8.64,-0.138,0.59,0.056,-0.148,-0.046,0,0,3.493,4.154,NA,NA,NA,NA,NA,0,11,7
X85,1,L,0,0,0,0,0,0,49.34,3.96,51.2,48.1,49.54666667,0.021,6.39,-1.014,0.169,0.309,-0.055,0.127,40,1124.571429,3.212,4.381,NA,NA,NA,NA,NA,0,29,7
X75,1,L,0,0,0,0,0,0,104.05,48.59,53.43,38.51,65.33,0.022,7.56,0.05,0.298,0.183,-0.001,0.091,43,993.3333333,3.072,4.363,NA,NA,NA,NA,NA,0,6,3
X49,1,N,0,0,0,0,0,0,66.4,50.46,62.54,20.5,49.81333333,0.072,5.79,0.97,0.938,0.153,0.124,0.1385,166,580.75,3.286,4.32,NA,NA,NA,NA,NA,0,7,5
X81,1,N,0,0,0,0,0,0,97.33,13.64,34.78,115.29,82.46666667,0.023,5.38,0.608,0.58,0.069,0.029,0.049,185,54750.875,3.147,4.206,NA,NA,NA,NA,NA,0,51,12
X48,1,N,0,0,0,0,0,0,13.92,25.73,60.53,19.41,31.28666667,0.102,4.46,0.144,0.08,0.174,0.005,0.0895,310,496.5333333,3.118,4.039,NA,NA,NA,NA,NA,0,6,4
X33,1,N,0,0,0,0,0,0,123.1,17.89,52.02,41.41,72.17666667,0.014,6.59,0.304,-0.002,0.083,0.021,0.052,31,47376.57143,3.192,4.007,NA,NA,NA,NA,NA,0,28,10
X65,1,N,0,0,0,0,0,0,2.92,0.85,27.19,15.57,15.22666667,0.191,3.74,0.076,0.475,0.084,0.007,0.0455,0,0,3.225,4.002,NA,NA,NA,NA,NA,0,0,0
X42,1,N,0,0,0,0,0,0,5.08,9.86,16.17,5.34,8.863333333,0.582,0.94,-0.492,0.415,0.164,0.06,0.112,0,0,3.396,3.982,NA,NA,NA,NA,NA,0,7,5
X52,1,N,0,0,0,0,0,0,57.16,18.27,7.16,2.04,22.12,0.845,0.31,1.244,0.741,0.173,0.098,0.1355,10,5600.25,3.438,3.958,NA,NA,NA,NA,NA,0,17,8
X28,1,N,0,0,0,0,0,0,2.03,8.64,3.28,3.66,2.99,0.976,0.04,0.156,0.347,0.029,-0.187,-0.079,20,68.1,2.739,3.9325,NA,NA,NA,NA,NA,0,5,4
X47,1,N,0,0,0,0,0,0,7.26,27.63,55.37,8.18,23.60333333,0.461,1.41,0.705,0.432,0.128,0.039,0.0835,0,0,3.431,3.927,NA,NA,NA,NA,NA,0,9,6
X43,1,N,0,0,0,0,0,0,67.1,4.65,58.16,40.43,55.23,0.014,7.55,0.943,0.158,0.157,0.065,0.111,121,27378.75,2.982,3.915,NA,NA,NA,NA,NA,0,41,15
X53,1,N,0,0,0,0,0,0,99.37,20.88,137.67,98.56,111.8666667,0.005,9.62,0.064,0.347,0.241,0.083,0.162,0,0,3.866,3.908,NA,NA,NA,NA,NA,0,4,4
X82,1,N,0,0,0,0,0,0,18.16,4.78,13.71,22.66,18.17666667,0.278,1.99,-0.116,0.458,0.08,-0.011,0.0345,0,0,2.836,3.865,NA,NA,NA,NA,NA,0,6,3
X66,1,N,0,0,0,0,0,0,102.32,3.67,74.53,29.63,68.82666667,0.131,4.22,0.591,0.733,0.098,0.102,0.1,241,238.5,2.336,3.86,NA,NA,NA,NA,NA,0,0,0
X44,1,N,0,0,0,0,0,0,32.46,3.92,7.84,97.89,46.06333333,0.371,2,0.288,0.465,0.169,0.059,0.114,202,1141.571429,3.239,3.839,NA,NA,NA,NA,NA,0,27,10
X72,1,N,0,0,0,0,0,0,7,0.9,40.88,0.85,16.24333333,0.482,1.44,0.707,0.56,0.162,0.018,0.09,26,67348.75,2.573,3.791,NA,NA,NA,NA,NA,0,0,0
X54,1,N,0,0,0,0,0,0,2.28,4.37,30.4,38.14,23.60666667,0.448,1.93,0.719,0.589,0.154,0.09,0.122,176,2178.5,2.632,3.766,NA,NA,NA,NA,NA,0,4,4
X78,1,N,0,0,0,0,0,0,74.98,41.41,91.71,58.17,74.95333333,0.004,8.96,0.444,0.635,0.267,0.03,0.1485,0,0,3.306,3.743,NA,NA,NA,NA,NA,0,5,4
X41,1,N,0,0,0,0,0,0,47.89,7.05,5.89,28.89,27.55666667,0.145,3.58,0.457,0.6,0.155,0.081,0.118,115,763.4,2.727,3.737,NA,NA,NA,NA,NA,0,33,10
X86,1,N,0,0,0,0,0,0,23.94,19.76,13.44,2.64,13.34,0.551,0.91,0.433,0.655,0.113,0.108,0.1105,0,0,2.498,3.717,NA,NA,NA,NA,NA,0,9,8
X83,1,N,0,0,0,0,0,0,70.28,28.38,96.76,24.7,63.91333333,0.065,4,0.543,1.225,0.133,0.045,0.089,29,13374.83333,2.764,3.664,NA,NA,NA,NA,NA,0,37,9
X9,1,N,0,0,0,0,0,0,44.37,37.26,32.12,24.92,33.80333333,0.499,1.01,-1.895,-0.128,0.066,0.017,0.0415,0,0,3.02,3.627,NA,NA,NA,NA,NA,0,11,7
X18,1,N,0,0,0,0,0,0,40.62,42.79,63.88,16.47,40.32333333,0.07,3.98,-0.44,-0.218,-0.014,0.025,0.0055,216,292.6428571,3.239,3.627,NA,NA,NA,NA,NA,0,12,7
X71,1,N,0,0,0,0,0,0,28.32,14.56,31.15,18.43,25.96666667,0.184,3.95,0.899,-0.878,0.14,0.043,0.0915,0,0,2.664,3.539,NA,NA,NA,NA,NA,0,5,5
X55,1,N,0,0,0,0,0,0,6.22,0,44.78,41.63,30.87666667,0.672,1.07,1.175,0.277,0.19,0.032,0.111,163,3128.636364,3.033,3.517,NA,NA,NA,NA,NA,0,4,4
X32,1,N,0,0,0,0,0,0,4.5,0,23.31,31.11,19.64,0.242,2.68,0.362,0.138,0.072,0.045,0.0585,255,4859.818182,3.37,3.507,NA,NA,NA,NA,NA,0,3,3
X13,1,N,0,0,0,0,0,0,66.24,15.2,88.9,53.37,69.50333333,0.074,3.76,-0.511,-0.026,-0.057,0.008,-0.0245,83,19064.22222,2.767,3.473,NA,NA,NA,NA,NA,0,24,14
X14,1,N,0,0,0,0,0,0,47.58,11.19,20.41,16.35,28.11333333,0.478,1.12,-0.343,-0.276,-0.005,0.017,0.006,194,498.5384615,2.838,3.41,NA,NA,NA,NA,NA,0,31,10
X60,1,L,0,0,0,0,0,0,34.17,10.69,13.02,42.59,29.92666667,0.351,2.4,0.908,0.343,0.164,0.01,0.087,0,0,2.748,3.399,NA,NA,NA,NA,NA,0,11,7
X2,1,N,0,0,0,0,0,0,47.89,79.05,35.39,15.64,32.97333333,0.312,1.67,-0.331,-0.031,0.007,-0.01,-0.0015,20,43113.5,2.891,3.362,NA,NA,NA,NA,NA,0,9,7
X92,1,N,0,0,0,0,0,0,32.12,32.36,19.28,2.41,17.93666667,0.395,1.43,0.989,0.4,0.103,0.008,0.0555,0,0,2.714,3.349,NA,NA,NA,NA,NA,0,7,3
X90,1,L,0,0,0,0,0,0,5.31,1.17,37.87,19.16,20.78,0.224,2.37,1.073,0.472,0.107,0.027,0.067,0,0,2.43,3.346,NA,NA,NA,NA,NA,0,10,6
